,label,text
0,1,string indexer inverse strictly associated string indexer name super clear rename string indexer inverse index tostring
1,1,requires discussion sure whether runs useful parameter certainly complicates implementation might want optimize k means implementation block matrix operations case runs may worth tradeoffs remove runs k means pipeline api
2,1,exists chance prefixes keep growing maximum pattern length final local processing step becomes unnecessary skip local processing prefix span small prefixes
3,1,parquet mr fixed several issues affects park example parquet spark upgrade parquet mr
4,1,utilities substring substring binary sql binary prefix comparator compute prefix binary data put together byte array easy read move utilities binary data byte array
5,1,platform dependent unsafe way verbose rename platform dependent unsafe platform
6,1,took look commit messages git log looks like individual commit messages useful include make commit messages verbose usually bunch extremely concise descriptions bug fixes merges etc see mailing list discussions http apache spark developers list n nabble com discuss removing individual commit messages squash commit message td html remove individual commit messages squash commit message
7,1,add python api user guide example ml regression isotonic regression add python api ml regression isotonic regression
8,1,add python api multilayer perceptron classifier add python api multilayer perceptron classifier
9,1,add python api user guide example ml feature count vectorizer model add python api ml feature count vectorizer
10,1,introduced netty network module shuffles park turned default releases old connection manager difficult maintain time remove remove connection manager
11,0,check add miss doc spy spark ml issue check miss docs mlml lib check add missing doc spy spark ml
12,1,see discussion https git hub com apache spark pull issue comment improve performance decimal times casting integral
13,1,type check longer applies new tungsten world remove type check debug package
14,1,https git hub com apache spark pull added from unsafe convert next ed unsafe data like array map struct safe versions quick solution already generate safe conversion codegen ed remove from unsafe implement codegen version generate safe remove from unsafe add codegen version generate safe
15,1,joined row any null currently loops every field check null inefficient underlying rows unsafe rows delegate underlying implementation joined row any null delegate underlying rows
16,0,data sources show physical rdd physical plan explain better show name data source existing improve explain message data sources can node
17,0,identify potential api issues list public api changes affect binary source incompatibility using command report result attached list binary source compatibility issues jap i compliance checker
18,1,jira making several m lapis public make easier users write pipeline stages issue brought er on wright descriptions copied http apache spark developers list n nabble com make ml developer apis public post td html plan make apis public spark however marked developer api likely broken future vector udt define relation vector field vector udt must instantiated identifiable trait trait generates unique identifier associated pipeline component nice consistent format reusing trait probabilistic classifier third party components leverage complex logic around computing selected columns yet make public schema utils third party pipeline components need checking column types appending columns probably moved spark sql users copy methods needed make m lapis public vector udt identifiable probabilistic classifier
19,1,consider sort merge join requires sorted clustered distribution input rows says mj children produce unsorted output single partition case need inject sort operators need inject exchanges unfortunately looks like exchange unnecessarily re partitions using hash partitioning update exchange unnecessarily repartition children ordering requirements unsatisfied like fix spark since makes certain types unit tests easier write ensure requirements add unnecessary shuffles ordering requirements unsatisfied
20,1,previously use mb default page size way big lots park applications especially single node patch changes default page size unset user determined number cores available total execution memory available pick default page size intelligently
21,1,add feature interaction transformer takes list vector double columns generate single vector column contains interactions multiplication among proper handling feature names add feature interaction transformer
22,1,eg currently sorts within task aggregation sortkey shuffle environments tight memory restrictions first operator may acquire much memory subsequent ones task starved simple fix reserve least page advance places reserved pagesize need normal pagesize sister problems parks park core reserve page unsafe operators avoid starving operator
23,1,small performance optimization need generate tuple immediately discard key also need extra wrapper remove sql new had oop rdd generated tuple interruptible iterator
24,1,subsumed new aggregate implementation remove generated aggregate
25,1,generate unsafe projection used directly code generated serializer longer need spark sql serializer removes park sql serializer favor unsafe exchange
26,1,currently support using decimal type precision new unsafe aggregation good support support update decimal type precision unsafe row
27,1,many modeling application data points necessarily sampled equal probabilities linear regression support weighting account sampling linear regression supported weighted data
28,1,update internal row to seq make accept datatype info
29,1,spark style checker banus escala java conversions provides implicit conversions java scala collections types instead performing conversions explicitly using java converters for going conversions altogether occurring inside performance critical code ban use java conversions migrate existing uses java converters
30,1,add streamingcontext get active or create python api
31,0,epics park release qa plans tracking various components spark testing plan
32,1,see http apache spark developers list n nabble com spark ec get repot dhtml details moves park ec me sosa mplab
33,1,remove create code create struct code replace usage create struct code
34,1,reviewing y huai patch spark noticed exchange compatible check may incorrectly returning false many cases far know actually problem compatible meets requirements needs any sort checks serving short circuit performance optimizations necessary correctness order reduce code complexity think remove checks unconditionally rewrite operator children safe rewrite tree single bottom pass remove compatible with meets requirements needs any sort checks exchange
35,1,added improve performance jit inline joined row calls however also improve projecting output unsafe row tungsten variant operators remove extra joined rows
36,1,remove unsafe row converter favor unsafe projection
37,1,consolidate local scheduler cluster scheduler given functionalities duplicated done removing local scheduler create local scheduler backend connects directly executor consolidate local scheduler cluster scheduler
38,1,big change lets us use type information prevent accidentally passing internal types external types remove internal row inheritance row
39,1,see spark added varargs though technically correct often requires developers clean assembly rather clean assembly nuisance development jira remove pending fix scala compiler params set default keep varargs annotation
40,1,spark option called spark local execution enabled according docs quote enables spark run certain jobs first take driver without sending tasks cluster make certain jobs execute quickly may require shipping whole partition data driver quote feature ends adding quite bit complexity dag scheduler especially run locally within thread method far know nobody uses feature searched mailing list seen recent mentions configuration stack trace s including run locally method step towards scheduler complexity reduction propose remove feature code related spark removed ag scheduler run locally within threads park local execution enabled
41,1,small change based code review offline discussion dragos removing unnecessary self types catalyst
42,1,new parquet external data source matures remove old parquet support remove sold parquet support code
43,1,useful cause problems tostring due order mixed remove leafnode unary node binary node treenode
44,1,spark context constructor takes preferred node locality data worked since spark also features park strictly better correct implementation feature remove documentation references feature print warning used saying work remove references preferred node locality data javadoc print warning used
45,1,unnecessary makes type hierarchy slightly complicated needed remove extract value with ordinal abstract class
46,1,right internal row mega morphic many different implementations work towards one two internal row implementations remove empty row class
47,1,type alias initially moved row around want massive changes expression code pretty easy remove one less concept worry remove internal row type alias expressions package
48,1,based discussion offline mar mbr us remove generate projection remove generate projection
49,1,make convenient r users uses park r browsers install configurer studio servers park ec
50,1,remove existing expression optimization suite update check evaluation also run optimizer version expression eval helper check evaluation also run optimizer version
51,1,perspective code reviewer find confusing using string directly remove term code type aliases code generation
52,1,useful type use remove simplify expressions slightly remove evaluated type sql expression
53,1,external sorter contains bunch move functionality external sorter separate class shares common interface insert all write partitioned file stepping stone towards eventually removing bypass path see spark move hash style shuffle code external sorter file
54,1,learnt lessons parks park avoid use scala concurrent execution context implicit s global user may submit blocking actions scala concurrent execution context implicit s global exhaust threads could crash sparks park always use thread pools safety remove import scala concurrent execution context implicit s global
55,1,removed calling size length condition avoid extra jvm call
56,1,rewrite distinct using group bye aggregate operator remove physical distinct operator favor aggregate
57,1,removed diff sum theoretical zero linear regression coding for mating
58,1,want change improves park ml api trees ensembles can not change old apis park ml lib support changes want make move implementations park ml libs park ml generalize modify also ensure change behavior old api several steps copy implementations park ml changes park ml classes use implementation rather calling spark ml lib implementation current spark ml tests ensure implementations learn exactly models note include performance testing make sure updated code regressions update run tests using spark perf regressions removes park ml lib implementation makes park ml lib apis wrappers around spark ml implementations park ml tests ensure change behavior move unit tests spark ml changes park ml lib unit tests verify model equivalence jira step steps separate jira s updates safely generalize improves park ml implementation move tree forest implementations park ml libs park ml
59,1,maven repository blocked china get rid dependency people china compiles park remove dependency twitter j repository
60,1,always possible whenever possible remove reduce differences pandas spark data frames python improve data frame api compatibility pandas
61,1,depends internal interfaces parks qld on emerging spark data frame udfs r
62,1,would great create apis external block stores rather bunch statements everywhere create external block store api
63,1,upgrade tachyon dependency
64,1,deprecated configs currently strewn across codebase would good simplify handling deprecated configs central location avoid duplicating deprecation logic everywhere centralize deprecated configs spark conf
65,1,continue discussion ldap r check poing dir global spark configuration altered ml algorithm could check whether checkpoint dir set checkpoint interval positive remove set checkpoint dir lda tree strategy
66,1,method survived code review since v exposes jbl as types let remove public api expect one calls directly hi deals solve least squares
67,1,to local iterator available java scala add functionality python also able use py spark iterate dataset partition partition add to local iterator py spark rdd
68,1,fix to do spark sql remove command use runnable command instead re factory commands park sql
69,1,remove unneeded staging repositories build
70,1,mqt t client removed eclipse paho repository hence breaking spark build upgrade mqt t dependency use mqt t client
71,1,refactoring performance slightly increased removing overhead breeze vector bottleneck still breeze norm implemented active iterator inefficiency breeze norm addressed next pr least pr makes base re factorize normalizer make code cleaner
72,1,rdd sampler try use numpy gain better performance possi on number call random faction n pure python implementation possi on much performance gain numpy numpy dependent py spark may be introduce problem numpy installed slaves installed master reported xxxx also complicate code lot may remove numpy rdd sampler remove numpy rdd sampler py spark
73,1,example yarn rm client yarn rm client impl merged yarn allocator yarn allocation handler merged remove layers abstraction yarn code longer needed dropping yarn alpha
74,1,due vertex attribute caching edge rdd previously took two type parameters e dvd however implementation detail exposed interface pr drop svd type parameter requires removing filter method edge rdd interface depends vertex attribute caching drop vd type parameter edge rdd
75,0,complicated modules sure whether intellij correctly understands source locations also might require specifying profiles build work directly document clearly start vanilla spark master get entire thing building intellij create instructions fully buildings park intellij
76,1,upgrade snappy java across maintenance branches release improves error messages attempting deserialize empty inputs using snappy input stream operation always error old error messages made hard distinguish failures due empty streams ones due reading invalid corrupted streams seehttpsgithubcomxerial snappy java issues context major help snappy debugging work upgrade snappy java
77,1,pyro lite release new version pr https githubcomirmenpyrolite pull remove workaround introduced pr https git hub com apache spark pull remove workaround pickle array float pyro lite
78,1,depend bit user demand commitment level maintainers like propose following timeline yarn alpha supports park deprecate yarn alpha spark remove yarn alpha e require yarns table since yarn alpha clearly identified alpha api seems reasonable drop support minor release however depend bit whether anyone uses outside yahoo sure past api used maintained yahoo migrating soon stable api deprecate later remove yarn alpha support
79,1,hive local context nearly completely redundant hive context consider deprecating removing uses get rid local hive context
80,1,according httpdocakkaiodocsakka intro getting started html akka published maven central documentation pom files need use old akka repo one less step users worry remove use special maven repo akka
81,0,sql parser fails resolve nested case statement like select case case else end else end tb exception exception thread main org apache spark sql catalyst parser parseexception mismatched input expecting like rlikeeqgtedivlinepossql select case case else end else end tb remove parentheses fine select case case else end else end tb sql sql parser fails resolve nested case statement parentheses
82,0,names method fails check validity assignment values fixed calling col names within names see example fix bug name assignment methods park r
83,0,range operator currently output input metrics results q lui number rows shown always fix input metrics range operator
84,1,removed codes reachable in conversion already resolve type coercion issues remove type coercion promote strings
85,0,current executor id to int cause numberformatexception unit test pass currently ask with retry catching exception rpc call thus go branch return true executor id hear beat receiver suite incorrect
86,1,metadata introduced mark optional columns merged parquet schema filter predicate pushdown upgrade parquet includes fix pushdown optional columns need metadata remove metadata used mark optional columns merged parquet schema filter predicate pushdown
87,1,apache parquet released officially last week jan issue aims bump parquet version since includes many fixes https lists apache org thread html a fcfecbbbeecaeaaaeffccdev parquet apache orge upgrade parquet
88,0,function json ignores user provided options
89,0,number names exported exist module data frame data frame na functions data frame stat functions https git hub com apache spark blob cadbfefafceedapythonpys park sql column py l results unexpected importer ro spy spark sql column exports nonexistent names
90,0,resolving jira https issues apache org jira browse spark doc needs update doc options case insensitive since spark
91,0,need updates programming guide example vignettes bisecting k means spark r documentation
92,0,although udf udf different udf name plans looks confusing always identical name udf explain output
93,1,create python wrappers park ml classification linear svc linear svc python api
94,0,similar spark codegen danger arbitrary fix code injection vulnerability related generator functions
95,0,whenever stdout outputs spark jvm typically calling println dropped spark r example explain column https git hub com apache spark blob master sql core src main scala org apache spark sql columns cal al jvm stdout output dropped spark r
96,0,k means using init mode random random seed possible actual cluster size equal configured k case summary model returns error due number cols coefficient matrix equal ks park rk means summary returns error cluster size equal k
97,0,patch spark applied spark conf object ignored launching spark context programmatically via python spark submit https git hub com apache spark blob master python py spark context py l case running python spark context conf xxx spark submit conf set conf j conf none passed arg conf object ignored used launching java gateway fix python py spark context py spark caused ignorance conf object passed spark context
98,1,implement ddl commands added several analyzer rules sql hive module analyzed dl related plans however analyzer currently one extending interface extended resolution rules defines extra rules run together rules resolution batch fit ddl rules well ddl rules may checking normalization may many times resolution batch run rules fixed point hard tell ddl rule already done checking normalization fine ddl rules idempotent bad analysis performance ddl rules may depend others pretty hard write conditions guarantee dependencies good batch run rules one pass guarantee dependencies rules order add new extending interface analyzer post hoc resolution
